Instructor Name,Favorite Quote,Type of Exercise,Level of Difficulty,Music w/ Explicit Lyrics,Class Length,Health Impact,Class Name,Class Description
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,20 min,"heart rate, calories",Focus Flow: Twists,"This yoga class focuses on twisting poses. Twists stimulate circulation and have a cleansing and refreshing effect on the internal organs, as well as benefits for the spine, hips and shoulders."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,10 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,30 min,"heart rate, calories",Power Flow,"In this power flow class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,10 min,"heart rate, calories",Focus Flow: Tree Pose,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, youll work on tree pose."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,45 min,"heart rate, calories",Yoga Flow,"In this vinyasa-style active yoga workout, you connect each posture and movement with your breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,20 min,"heart rate, calories",Evening Slow Flow,Mariana designed this yoga sequence to help you end your day on a chill note.
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Beyond the Pose: Community,"Join Mariana on the mat to learn more about the concepts, philosophies and other practices of yoga in this 30 min yoga flow."
Mariana Fernández,Experience your own resilience.,yoga,beginner,True,20 min,"heart rate, calories",Yoga Flow,"In this vinyasa-style active yoga workout, you connect each posture and movement with your breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,30 min,"heart rate, calories",Focus Flow: Backbends,"This yoga class focuses on backbends. Backbends are invigorating and strengthening and help open up the shoulders, chest and heart, areas where we often hold tension in the body."
Mariana Fernández,Experience your own resilience.,yoga,beginner,True,20 min,"heart rate, calories",Focus Flow: Camel,This yoga class focuses on building skills that prepare you for a specific pose. In this class you'll be working on the camel pose.
Mariana Fernández,Experience your own resilience.,yoga,beginner,True,30 min,"heart rate, calories",Focus Flow: Forward Folds,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, youll work on forward folds."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Yoga Flow,"In this vinyasa-style active yoga workout, you connect each posture and movement with your breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,20 min,"heart rate, calories",Focus Flow: Sun Salutations,"This yoga class is composed primarily of multiple repeated rounds of sun salutations, the short sequence of poses typically used as a warm up for a longer class."
Mariana Fernández,Experience your own resilience.,yoga,beginner,True,20 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,45 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,20 min,"heart rate, calories",Focus Flow: Hamstrings,"This yoga class focuses on poses that engage, strengthen and/or open up the hamstrings."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,5 min,"heart rate, calories",Basics: Side Angle,"Join this yoga basics class focusing on the Extended Side Angle pose. This short class is a perfect tutorial for someone new to yoga, or experienced students looking to improve their practice."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,20 min,"heart rate, calories",Morning Yoga Flow,Mariana designed this yoga sequence to help you start your day!
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,20 min,"heart rate, calories",Focus Flow: Core,"This yoga class focuses on poses that help engage, strengthen and stabilize your core."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,20 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,10 min,"heart rate, calories",Focus Flow: Chair Pose,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, youll work on chair pose."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,45 min,"heart rate, calories",Focus Flow: Headstands,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, you'll be working on doing a head stand."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,30 min,"heart rate, calories",Dance Music Power Flow,TBD
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,45 min,"heart rate, calories",Yoga Flow,"In this vinyasa-style active yoga workout, you connect each posture and movement with your breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,15 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,45 min,"heart rate, calories",Power Flow,"In this power flow class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,30 min,"heart rate, calories",Yoga Flow,"En esta clase de yoga activa de estilo vinyasa, pasaremos de una postura a la siguiente, conectando los movimientos con la respiracin. Perfecciona tu concentracin interior a medida que desarrollas fuerza, flexibilidad y equilibrio."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,20 min,"heart rate, calories",Morning Yoga Flow,Mariana designed this yoga sequence to help you start your day!
Mariana Fernández,Experience your own resilience.,yoga,beginner,True,30 min,"heart rate, calories",Yoga Flow,"In this vinyasa-style active yoga workout, you connect each posture and movement with your breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,5 min,"heart rate, calories",Basics: Sun Salutations,Join this basic yoga class that focuses on sun salutations. This short class is a perfect tutorial for someone new to yoga or an experienced student seeking to enhance their practice.
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,20 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,20 min,"heart rate, calories",Focus Flow: Floor Poses,"This yoga class focuses on developing skills that prepare you for a category of related postures. In this class, you will work on floor postures."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Rock en Español Power Yoga,Celebrate the diverse and energetic sounds of Spanish rock in this musical Power Yoga class.
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,20 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,10 min,"heart rate, calories",Focus Flow: Chaturanga,This yoga class focuses on building skills that prepare you for a specific posture. In this class you will work on the Four-Limbed Staff Pose.
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,30 min,"heart rate, calories",Bad Bunny Power Yoga,Bad Bunny needs no introduction: this reguetonero breaks records by being true to himself. Get on the mat with Mariana for a special class in Spanish as we pay tribute to one of music's most extraordinary pioneers.
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,30 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,True,20 min,"heart rate, calories",Focus Flow: Half Moon,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, youll work on half moon."
Mariana Fernández,Experience your own resilience.,yoga,beginner,True,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,20 min,"heart rate, calories",Beyoncé Power Yoga,Strong body. Strong mind. Source your power from the mat in this Beyonc flow with Mariana.
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,15 min,"heart rate, calories",Focus Flow: Core,"This yoga class focuses on poses that help engage, strengthen and stabilize your core."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,10 min,"heart rate, calories",Basics: Mindful Movements,"Join this yoga basics class focusing on hip movements. Whether you're a beginner or an experienced yogi, learn to move with mindfulness and intention as you improve and perfect your practice."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,30 min,"heart rate, calories",Focus Flow: Crow,This yoga class focuses on building skills that prepare you for a specific posture. In this class you'll work on the crow pose.
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,45 min,"heart rate, calories",Focus Flow: Arm Balances,"This yoga class focuses on building skills surrounding a category of related postures. In this class, youll work on arm balances."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,30 min,"heart rate, calories",Focus Flow: Lower Body,"This yoga class focuses on poses that engage, strengthen and open up the muscles of the lower body."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,10 min,"heart rate, calories",Focus Flow: Core,"This yoga class focuses on poses that help engage, strengthen and stabilize your core."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,10 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,20 min,"heart rate, calories",Focus Flow: Core,"This yoga class focuses on poses that help engage, strengthen and stabilize your core."
Mariana Fernández,Experience your own resilience.,yoga,advanced,False,20 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,20 min,"heart rate, calories",Focus Flow: Core,"This yoga flow class focuses on poses that help engage, strengthen and stabilize your core."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,10 min,"heart rate, calories",Focus Flow: Hamstrings,"This power yoga class focuses on poses that engage, strengthen and/or open up the hamstrings. "
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,20 min,"heart rate, calories",Focus Flow: Goddess Pose,This Yoga Flow class focuses on skills that prepare you for a specific pose. You'll work on the Goddess pose.
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,10 min,"heart rate, calories",Focus Flow: Upper Body,"This yoga flow class focuses on poses that engage, strengthen and open up the muscles of the upper body."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,45 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,30 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,10 min,"heart rate, calories",Focus Flow: Sun Salutations,"This yoga class is composed primarily of multiple repeated rounds of sun salutations, the short sequence of poses typically used as a warm up for a longer class."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,45 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,20 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,20 min,"heart rate, calories",Focus Flow: Hips,"This yoga class focuses on poses that help engage, strengthen and open up your hips. A perfect complement to all your hard work on the Bike or Tread!"
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,20 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,20 min,"heart rate, calories",Morning Yoga Flow,Mariana designed this yoga sequence to help you start your day!
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,60 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,10 min,"heart rate, calories",Focus Flow: Hamstrings,"This yoga class focuses on poses that engage, strengthen and/or open up the hamstrings."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,45 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,45 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,20 min,"heart rate, calories",Focus Flow: Lower Body,"This yoga class focuses on poses that engage, strengthen and open up the muscles of the lower body."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,45 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,60 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,15 min,"heart rate, calories",Stacking Stuffer: Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,20 min,"heart rate, calories",Evening Yoga Flow,Mariana designed this yoga sequence to help you end your day on a chill note.
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,20 min,"heart rate, calories",Morning Yoga Flow,Mariana designed this yoga sequence to help you start your day!
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,20 min,"heart rate, calories",Focus Flow: Hamstrings,"This power yoga class focuses on poses that engage, strengthen and/or open up the hamstrings. Our power classes are recommended for users with previous yoga flow experience."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Rock en Español Power Yoga,"Celebrate the diverse, high-energy sounds of rock en Espaol in this music-themed flow."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,10 min,"heart rate, calories",Focus Flow: Hips,"This yoga class focuses on poses that help engage, strengthen and open up your hips. A perfect complement to all your hard work on the Bike or Tread!"
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,10 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,20 min,"heart rate, calories",Focus Flow: Lower Body,"This yoga class focuses on poses that engage, strengthen and open up the muscles of the lower body."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,30 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,15 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,30 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,True,60 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,5 min,"heart rate, calories",Basics: Goddess,Join this basic yoga class that focuses on Goddess pose. This short class is a perfect tutorial for someone new to yoga or an experienced student seeking to enhance their practice.
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Focus Flow: Headstands,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, you'll be working on doing a head stand."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Focus Flow: Upper Body,"This yoga class focuses on poses that engage, strengthen and open up the muscles of the upper body."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Focus Flow: Warrior 3,This yoga class focuses on building skills that prepare you for a specific posture. In this class you will work on warrior 3.
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,20 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,10 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,10 min,"heart rate, calories",Focus Flow: Crescent Moon,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, youll work on crescent moon."
Mariana Fernández,Experience your own resilience.,meditation,intermediate,False,5 min,heart rate,Breathwork,"This class will incorporate a combination of breathwork practices. Breathwork is based on yoga practices known as pranayama which means to regulate the breath as a way to shift physical, mental and subtle energy."
Mariana Fernández,Experience your own resilience.,meditation,beginner,False,10 min,heart rate,Breathwork,"This class will incorporate a combination of breathwork practices. Breathwork is based on yoga practices known as pranayama which means to regulate the breath as a way to shift physical, mental and subtle energy."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,20 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,20 min,"heart rate, calories",Focus Flow: Skandasana,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, youll work on skandasana."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,15 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,60 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,10 min,"heart rate, calories",Focus Flow: Hips,"This yoga class focuses on poses that help engage, strengthen and open up your hips. A perfect complement to all your hard work on the Bike or Tread!"
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,5 min,"heart rate, calories",Basics: Happy Baby,Join this yoga basics class that focuses on happy baby pose. This short class is a perfect tutorial for someone new to yoga or an experienced student seeking to enhance their practice.
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,45 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Focus Flow: Wheel,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, you will work on the wheel pose."
Mariana Fernández,Experience your own resilience.,yoga,beginner,False,10 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,10 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Mariana Fernández,Experience your own resilience.,yoga,intermediate,False,30 min,"heart rate, calories",Morning Yoga Flow,Mariana designed this yoga sequence to help you start your day!
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,intermediate,False,10 min,"heart rate, calories",Bodyweight Strength,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat."
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,intermediate,False,20 min,"heart rate, calories",Core Strength,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,beginner,False,20 min,"heart rate, calories",Full Body Strength,This full-body class is designed to strengthen your muscles through a series of dynamic movements.
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,intermediate,False,10 min,"heart rate, calories",Core Strength,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",bike_bootcamp,beginner,False,30 min,"heart rate, cadence, calories",Bootcamp: Bodyweight,"Clip in for heart-pumping intervals on the Bike, then hit the mat for bodyweight moves on the floor. Combining both cardio & strength, this efficient & well-rounded workout will leave you feeling sweaty & strong."
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,intermediate,False,30 min,"heart rate, calories",Full Body Strength,This full-body class is designed to strengthen your muscles through a series of dynamic movements.
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,intermediate,False,20 min,"heart rate, calories",Arms & Shoulders Strength,Grab your weights and join us for an upper-body workout focused on strengthening your arms and shoulders.  
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,beginner,False,20 min,"heart rate, calories",Glutes & Legs Strength,Strengthen the largest muscles in your body with this glutes & legs workout. 
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",bike_bootcamp,intermediate,False,30 min,"heart rate, cadence, calories",Bootcamp: Upper Body,"Clip in for heart-pumping intervals on the Bike, then grab your sneakers & hit the mat for upper-body moves on the floor. Combining both cardio & strength, this efficient & well-rounded workout will leave you feeling sweaty & strong."
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",bike_bootcamp,intermediate,False,45 min,"heart rate, cadence, calories",Bootcamp: Full Body,"Clip in for heart-pumping intervals on the Bike, then grab your sneakers & hit the mat for full-body moves on the floor. Combining both cardio & strength, this efficient & well-rounded workout will leave you feeling sweaty & strong."
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,intermediate,False,20 min,"heart rate, calories",Bodyweight Strength,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat."
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,intermediate,False,10 min,"heart rate, calories",Core Strength,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles."
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,intermediate,False,20 min,"heart rate, calories",Glutes & Legs Strength,Strengthen the largest muscles in your body with this glutes & legs workout. 
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,intermediate,True,20 min,"heart rate, calories",Full Body Strength,This full-body class is designed to strengthen your muscles through a series of dynamic movements.
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,intermediate,False,20 min,"heart rate, calories",Core Strength,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,beginner,False,20 min,"heart rate, calories",Full Body Strength,This full-body class is designed to strengthen your muscles through a series of dynamic movements.
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,intermediate,False,10 min,"heart rate, calories",Glutes & Legs Strength,Strengthen the largest muscles in your body with this glutes & legs workout. 
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,intermediate,False,20 min,"heart rate, calories",Bodyweight Strength,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat."
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,beginner,False,10 min,"heart rate, calories",Glutes & Legs Strength,Strengthen the largest muscles in your body with this glutes & legs workout. 
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,intermediate,False,10 min,"heart rate, calories",Arms & Shoulders Strength,Grab your weights and join us for an upper-body workout focused on strengthening your arms and shoulders.  
Callie Gullickson,"“Believe in yourself, and you're halfway there.”",strength,intermediate,False,20 min,"heart rate, calories",Full Body Strength,This full-body class is designed to strengthen your muscles through a series of dynamic movements.
